depth,start
1,634525
1,634539
1,NA
1,634852
1,634867
1,NA
1,635969
1,636327
1,NA
1,636425
1,636606
1,NA
1,637815
1,637872
1,NA
1,638172
1,638190
1,NA
1,638246
1,638257
1,NA
1,639853
1,639869
1,NA
1,640201
1,640370
1,NA
1,641005
1,641303
1,NA
1,642167
1,642177
1,NA
1,642855
1,642899
1,NA
1,643399
1,643532
1,NA
1,643924
1,644067
1,NA
1,644311
1,644499
1,NA
1,645592
1,645602
1,NA
1,646006
1,646056
1,NA
1,647247
1,647353
1,NA
1,647491
1,647505
1,NA
2,648318
2,648387
2,NA
2,648531
2,648543
2,NA
1,648103
1,648762
1,NA
1,649493
1,649496
1,NA
1,649971
1,650015
1,NA
1,654937
1,654942
1,NA
1,657940
1,658063
1,NA
1,662254
1,662298
1,NA
2,663578
2,663610
2,NA
2,666106
2,666304
2,NA
2,667188
2,667246
2,NA
1,662363
1,669695
1,NA
1,672499
1,672530
1,NA
1,672827
1,672855
1,NA
1,674576
1,674581
1,NA
1,675346
1,675364
1,NA
1,675580
1,675602
1,NA
1,680449
1,680498
1,NA
1,686787
1,686817
1,NA
1,687452
1,687464
1,NA
1,688499
1,688587
1,NA
1,690203
1,690227
1,NA
1,690408
1,690462
1,NA
1,691000
1,691083
1,NA
1,691720
1,691780
1,NA
1,692162
1,692182
1,NA
1,693275
1,693289
1,NA
1,693566
1,693618
1,NA
1,697165
1,697265
1,NA
1,702917
1,702923
1,NA
1,703435
1,703565
1,NA
1,703787
1,703793
1,NA
1,704865
1,704895
1,NA
1,705163
1,705181
1,NA
1,705999
1,706090
1,NA
1,706773
1,706790
1,NA
1,707057
1,707064
1,NA
1,712859
1,712883
1,NA
1,715907
1,715914
1,NA
1,717691
1,717698
1,NA
1,718416
1,718435
1,NA
0,1
0,425
0,NA
0,487
0,2526
0,NA
0,2543
0,4177
0,NA
0,4193
0,4322
0,NA
0,4377
0,4460
0,NA
0,4512
0,4628
0,NA
0,4710
0,4762
0,NA
0,4775
0,4794
0,NA
0,4818
0,6672
0,NA
0,6956
0,8010
0,NA
0,8021
0,8061
0,NA
0,8083
0,8524
0,NA
0,8546
0,9805
0,NA
0,9852
0,10590
0,NA
0,12526
0,12954
0,NA
0,13171
0,14154
0,NA
0,14170
0,14324
0,NA
0,14340
0,14941
0,NA
0,15007
0,17640
0,NA
0,17705
0,19052
0,NA
0,19094
0,19172
0,NA
0,19202
0,19802
0,NA
0,19834
0,20815
0,NA
0,20833
0,24712
0,NA
0,24882
0,27813
0,NA
0,27976
0,30174
0,NA
0,30200
0,30208
0,NA
0,30228
0,30442
0,NA
0,30458
0,30710
0,NA
0,30724
0,32577
0,NA
0,32615
0,36950
0,NA
0,37250
0,38158
0,NA
0,38281
0,46710
0,NA
0,46936
0,47186
0,NA
0,47360
0,47922
0,NA
0,48122
0,51247
0,NA
0,51338
0,53180
0,NA
0,53235
0,55044
0,NA
0,55065
0,56215
0,NA
0,56231
0,57495
0,NA
0,57630
0,58355
0,NA
0,58374
0,60943
0,NA
0,60982
0,63176
0,NA
0,63185
0,65100
0,NA
0,65127
0,66498
0,NA
0,66602
0,69576
0,NA
0,69649
0,72846
0,NA
0,72900
0,74470
0,NA
0,75216
0,76559
0,NA
0,76618
0,79834
0,NA
0,79847
0,79979
0,NA
0,80021
0,80507
0,NA
0,80517
0,80793
0,NA
0,81711
0,81754
0,NA
0,82091
0,83162
0,NA
0,83229
0,84624
0,NA
0,84741
0,85429
0,NA
0,85440
0,88453
0,NA
0,88637
0,91160
0,NA
0,91381
0,91541
0,NA
0,91588
0,92251
0,NA
0,92273
0,93416
0,NA
0,93456
0,97350
0,NA
0,97446
0,97668
0,NA
0,97790
0,98963
0,NA
0,98972
0,99875
0,NA
0,99886
0,100027
0,NA
0,100145
0,100914
0,NA
0,100978
0,102075
0,NA
0,102350
0,102614
0,NA
0,103212
0,103947
0,NA
0,105665
0,106898
0,NA
0,107071
0,108288
0,NA
0,108296
0,108636
0,NA
0,108657
0,108912
0,NA
0,109033
0,110621
0,NA
0,110757
0,111370
0,NA
0,111967
0,112232
0,NA
0,112247
0,113295
0,NA
0,113301
0,114822
0,NA
0,114844
0,115630
0,NA
0,115738
0,116849
0,NA
0,116867
0,116931
0,NA
0,116949
0,117488
0,NA
0,117553
0,119759
0,NA
0,119802
0,123314
0,NA
0,123453
0,125935
0,NA
0,125976
0,126209
0,NA
0,126345
0,128549
0,NA
0,128624
0,129373
0,NA
0,129401
0,131785
0,NA
0,131790
0,132717
0,NA
0,132833
0,133501
0,NA
0,133550
0,134329
0,NA
0,134357
0,136643
0,NA
0,136744
0,137636
0,NA
0,137700
0,138946
0,NA
0,139052
0,140929
0,NA
0,141353
0,145046
0,NA
0,145225
0,148961
0,NA
0,149003
0,152155
0,NA
0,152244
0,152273
0,NA
0,152294
0,152495
0,NA
0,152896
0,159199
0,NA
0,159212
0,160612
0,NA
0,160619
0,162180
0,NA
0,162209
0,162678
0,NA
0,162685
0,164552
0,NA
0,164559
0,165608
0,NA
0,165613
0,166859
0,NA
0,166864
0,167096
0,NA
0,167104
0,168167
0,NA
0,168186
0,168968
0,NA
0,169014
0,169566
0,NA
0,169594
0,170198
0,NA
0,170256
0,171051
0,NA
0,171073
0,172468
0,NA
0,172504
0,172633
0,NA
0,172665
0,183092
0,NA
0,183185
0,183669
0,NA
0,183686
0,184552
0,NA
0,185035
0,190314
0,NA
0,190319
0,194841
0,NA
0,194846
0,196968
0,NA
0,197068
0,198522
0,NA
0,198535
0,202432
0,NA
0,202437
0,204075
0,NA
0,204090
0,207862
0,NA
0,207877
0,208718
0,NA
0,208731
0,209062
0,NA
0,209078
0,212735
0,NA
0,212772
0,215449
0,NA
0,215462
0,216680
0,NA
0,216696
0,217138
0,NA
0,217145
0,217560
0,NA
0,217569
0,218204
0,NA
0,218211
0,220974
0,NA
0,220979
0,228637
0,NA
0,228645
0,230213
0,NA
0,230272
0,231176
0,NA
0,231291
0,231996
0,NA
0,232004
0,235829
0,NA
0,235864
0,237538
0,NA
0,237558
0,238132
0,NA
0,238208
0,238914
0,NA
0,238930
0,240686
0,NA
0,242162
0,242428
0,NA
0,242458
0,243698
0,NA
0,245018
0,246295
0,NA
0,246318
0,246344
0,NA
0,246673
0,247376
0,NA
0,247484
0,248099
0,NA
0,248143
0,249198
0,NA
0,249212
0,249893
0,NA
0,249947
0,250725
0,NA
0,250838
0,251338
0,NA
0,251476
0,251517
0,NA
0,251781
0,251823
0,NA
0,251845
0,252215
0,NA
0,252233
0,252471
0,NA
0,252526
0,252601
0,NA
0,252616
0,252798
0,NA
0,252904
0,253001
0,NA
0,253188
0,253630
0,NA
0,253731
0,253788
0,NA
0,253826
0,253976
0,NA
0,253985
0,254003
0,NA
0,254049
0,254278
0,NA
0,254448
0,255365
0,NA
0,255384
0,255750
0,NA
0,255787
0,256033
0,NA
0,256120
0,256501
0,NA
0,256546
0,256722
0,NA
0,256731
0,258334
0,NA
0,258372
0,258385
0,NA
0,258402
0,258844
0,NA
0,258861
0,259309
0,NA
0,259361
0,259410
0,NA
0,259634
0,261059
0,NA
0,261953
0,263679
0,NA
0,263788
0,264109
0,NA
0,264149
0,264573
0,NA
0,264642
0,265266
0,NA
0,265283
0,266195
0,NA
0,266234
0,266299
0,NA
0,266320
0,266704
0,NA
0,266720
0,267605
0,NA
0,267687
0,269337
0,NA
0,269354
0,270447
0,NA
0,270549
